"Year","Level"
1981.7083,7152
1981.7917,7155
1981.875,7209
1981.9583,6975
1982.0417,6874
1982.125,6923
1982.2083,7036
1982.2917,7014
1982.375,7036
1982.4583,7091
1982.5417,7024
1982.625,7045
1982.7083,7179
1982.7917,7310
1982.875,7249
1982.9583,7145
1983.0417,7188
1983.125,7127
1983.2083,7130
1983.2917,7069
1983.375,7017
1983.4583,7164
1983.5417,7118
1983.625,7057
1983.7083,7228
1983.7917,7313
1983.875,7185
1983.9583,7033
1984.0417,7139
1984.125,6953
1984.2083,6990
1984.2917,7066
1984.375,6981
1984.4583,7045
1984.5417,6947
1984.625,7024
1984.7083,7261
1984.7917,7316
1984.875,7301
1984.9583,7130
1985.0417,7008
1985.125,6947
1985.2083,7020
1985.2917,6978
1985.375,7115
1985.4583,7005
1985.5417,7054
1985.625,7213
1985.7083,7341
1985.7917,7423
1985.875,7179
1985.9583,7014
1986.0417,7020
1986.125,7039
1986.2083,7005
1986.2917,7109
1986.375,7148
1986.4583,7167
1986.5417,7024
1986.625,7042
1986.7083,7200
1986.7917,7209
1986.875,7213
1986.9583,7216
1987.0417,7106
1987.125,7145
1987.2083,7188
1987.2917,7039
1987.375,7109
1987.4583,6999
1987.5417,7048
1987.625,7054
1987.7083,7109
1987.7917,7237
1987.875,7188
1987.9583,6987
1988.0417,7027
1988.125,7030
1988.2083,6996
1988.2917,7057
1988.375,7051
1988.4583,7106
1988.5417,7002
1988.625,7020
1988.7083,7203
1988.7917,7304
1988.875,7124
1988.9583,7097
1989.0417,7067
1989.125,6997
1989.2083,7097
1989.2917,7007
1989.375,7017
1989.4583,6957
1989.5417,6997
1989.625,7107
1989.7083,7257
1989.7917,7227
1989.875,7067
1989.9583,7017
1990.0417,6907
1990.125,6977
1990.2083,7087
1990.2917,7047
1990.375,7017
1990.4583,7057
1990.5417,7037
1990.625,7107
1990.7083,7197
1990.7917,7197
1990.875,7177
1990.9583,7077
1991.0417,7142
1991.125,7002
1991.2083,7057
1991.2917,7078
1991.375,7152
1991.4583,7243
1991.5417,7130
1991.625,7124
1991.7083,7353
1991.7917,7365
1991.875,7255
1991.9583,7039
1992.0417,7069
1992.125,7100
1992.2083,6978
1992.2917,7106
1992.375,7185
1992.4583,7228
1992.5417,7027
1992.625,7081
1992.7083,7295
1992.7917,7371
1992.875,7243
1992.9583,7097
1993.0417,7240
1993.125,7194
1993.2083,7002
1993.2917,7066
1993.375,7081
1993.4583,7097
1993.5417,7005
1993.625,7091
1993.7083,7158
1993.7917,7310
1993.875,7243
1993.9583,7109
1994.0417,6984
1994.125,7088
1994.2083,7008
1994.2917,7008
1994.375,7161
1994.4583,7030
1994.5417,6944
1994.625,7091
1994.7083,7237
1994.7917,7411
1994.875,7277
1994.9583,7359
1995.0417,-99999
1995.125,-99999
1995.2083,7170
1995.2917,7179
1995.375,7188
1995.4583,7164
1995.5417,7124
1995.625,7383
1995.7083,7502
1995.7917,7435
1995.875,7213
1995.9583,7167
1996.0417,7062
1996.125,6967
1996.2083,7005
1996.2917,7009
1996.375,7054
1996.4583,7085
1996.5417,7003
1996.625,7104
1996.7083,7200
1996.7917,7388
1996.875,7269
1996.9583,7141
1997.0417,7057
1997.125,7095
1997.2083,7080
1997.2917,7181
1997.375,7133
1997.4583,7232
1997.5417,7158
1997.625,7249
1997.7083,7298
1997.7917,7279
1997.875,7148
1997.9583,7132
1998.0417,7120
1998.125,7276
1998.2083,7142
1998.2917,7122
1998.375,7182
1998.4583,7053
1998.5417,7023
1998.625,7155
1998.7083,7195
1998.7917,7255
1998.875,7150
1998.9583,7147
1999.0417,7106
1999.125,7215
1999.2083,7106
1999.2917,7098
1999.375,7193
1999.4583,7151
1999.5417,7079
1999.625,7190
1999.7083,7401
1999.7917,7391
1999.875,7246
1999.9583,7172
2000.0417,7090
2000.125,7023
2000.2083,7075
2000.2917,7085
2000.375,7104
2000.4583,7085
2000.5417,7164
2000.625,7214
2000.7083,7355
2000.7917,7392
2000.875,7258
